DistanceLeft,DistanceRight,SteeringAngle
182,118,1500
182,118,1500
182,119,1500
182,118,1500
182,118,1500
182,118,1500
182,118,1500
182,119,1500
182,118,1500
182,118,1500
182,119,1500
183,119,1500
183,119,1500
183,118,1500
183,118,1500
183,118,1500
183,118,1500
183,117,1500
183,118,1500
183,118,1500
183,118,1500
183,118,1500
183,118,1500
183,117,1500
183,118,1500
184,117,1497
184,117,1497
184,117,1497
184,117,1497
184,117,1497
184,117,1497
184,118,1497
185,115,1496
185,116,1496
186,117,1495
185,117,1496
186,115,1495
186,115,1495
57,114,1499
57,114,1499
187,114,1494
187,113,1494
187,112,1494
187,113,1494
188,112,1493
188,112,1493
188,111,1493
189,111,1492
190,111,1491
191,113,1490
191,110,1490
192,111,1489
193,110,1488
194,109,1487
194,108,1487
195,108,1486
196,107,1484
230,107,1450
230,107,1450
230,106,1450
231,106,1448
232,106,1447
232,107,1447
400,104,1277
235,104,1442
200,104,1477
233,104,1444
234,104,1442
233,103,1443
234,103,1442
235,102,1440
235,102,1440
236,103,1439
236,101,1438
78,101,1492
237,102,1437
237,101,1437
238,99,1435
238,100,1435
238,100,1435
238,98,1434
238,98,1434
239,97,1433
240,97,1431
240,98,1431
241,98,1430
241,97,1429
241,96,1429
242,96,1428
242,97,1427
242,97,1427
242,96,1427
242,96,1426
242,97,1426
243,96,1424
244,96,1423
244,97,1423
244,101,1422
245,97,1421
246,99,1420
246,102,1419
245,104,1420
245,106,1419
245,107,1419
245,106,1419
246,106,1417
246,106,1417
247,106,1416
246,107,1416
246,106,1416
246,105,1415
246,106,1415
246,106,1415
246,107,1414
245,108,1415
245,107,1414
245,108,1414
245,108,1414
244,108,1414
244,109,1414
244,108,1414
244,109,1413
243,110,1414
243,111,1413
243,111,1413
242,111,1414
242,113,1413
241,111,1414
241,112,1414
241,112,1413
240,114,1414
240,114,1414
239,114,1414
239,115,1414
238,115,1415
238,116,1414
238,118,1414
238,118,1414
237,117,1414
236,118,1415
236,119,1415
234,120,1469
234,121,1469
234,121,1469
234,123,1469
234,123,1469
232,124,1469
232,124,1469
233,125,1469
231,126,1469
239,126,1469
237,128,1469
236,127,1469
229,129,1469
228,130,1469
227,130,1469
226,129,1469
225,130,1469
225,131,1469
224,132,1469
224,133,1469
224,134,1469
223,133,1469
223,133,1469
224,135,1469
223,135,1469
222,137,1469
221,135,1469
221,136,1469
188,137,1469
186,137,1469
185,138,1469
184,139,1469
184,140,1469
183,140,1469
182,140,1469
181,140,1470
181,142,1470
180,142,1471
179,142,1472
178,144,1473
178,148,1473
177,146,1474
177,146,1474
177,147,1474
176,197,1475
176,196,1475
175,198,1476
175,199,1476
174,199,1477
174,198,1477
174,200,1477
173,199,1478
173,199,1478
173,200,1478
173,200,1478
172,200,1479
172,201,1479
171,201,1481
171,149,1481
